,department,code,level,name,Credit Hours,Prerequisites,Description,Corequisite
0,BIOL,BIOL_1103,1,Introductory Biology I,3.0,,"Introduction to fundamental concepts in biology, with an emphasis on evolution, cell structure and function, basic chemistry of life, gene structure and function, cell division, and genetics. Application of these concepts to issues affecting society. This course does not fulfill the requirements for a major in biology.",BIOL_1103L
1,BIOL,BIOL_1103K,1,Introductory Biology I,4.0,,"Introduction to fundamental concepts in biology, with an emphasis on evolution, cell structure and function, basic chemistry of life, gene structure and function, cell division, and genetics. Application of these concepts to issues affecting society. This course does not fulfill the requirements for a major in biology. BIOL 1103K is equivalent to BIOL 1103 and BIOL 1103L. Includes a $50 lab fee.",MATH_1001
2,BIOL,BIOL_1103L,1,Introductory Biology I Lab,1.0,Students_who_are_enrolled_in_MATH_0998_must_be_concurrently_enrolled_in_MATH_1101,Laboratory based application of topics covered in the lecture. This course does not fulfill the requirements for a major in biology.,BIOL_1103
3,BIOL,BIOL_1104,1,Introductory Biology II,3.0,BIOL_1103K_or_BIOL_1103_and_BIOL_1103L_with_grades_of_D_or_higher,"Introduction to fundamental concepts in biology, with an emphasis on evolution, anatomy, physiology, classification and ecological relationships. Application of these concepts to issues affecting society. This course does not fulfill the requirements for a major in biology.",BIOL_1104L
4,BIOL,BIOL_1104K,1,Introductory Biology II,4.0,BIOL_1103K_or_Biol1103_and_Biol1103L_with_grades_of_D_or_higher,"Introduction to fundamental concepts in biology, with an emphasis on evolution, anatomy, physiology, classification and ecological relationships. Application of these concepts to issues affecting society. This course does not fulfill the requirements for a major in biology. BIOL 1104K is equivalent to BIOL 1104 and BIOL 1104L. Includes a $50 lab fee.",Placement_based_on_the_mathematics_placement_policy
5,BIOL,BIOL_1104L,1,Introductory Biology II Laboratory,1.0,,Laboratory based application of topics covered in the lecture. This course does not fulfill the requirements for a major in biology.,BIOL_1104
6,BIOL,BIOL_2050,2,Introduction to Drugs and Behavior,3.0,,"(Same as PSYC 2050.) Provides an introduction to the effects of drugs on behavior. Topics include how drugs affect the brain and, consequently, behavior; the underlying brain and environmental factors thought to be responsible for drug addiction, tolerance and sensitivity; treatment of major psychological disorders (e.g., depression, mania, anxiety) with drug therapy; and the classification of common psychoactive drugs.",
7,BIOL,BIOL_2106,2,Introduction to the Biological Sciences,2.0,"Appropriate_score_on_the_math_placement_test,_or_concurrent_registration_in_MATH_0999","Introduction to evolutionary theory, plant, animal, microbial diversity, evolutionary history, and ecology.",
8,BIOL,BIOL_2107,2,Principles of Biology I,3.0,CHEM_1211K_or_CHEM_1211_and_CHEM_1211L_with_a_C_or_higher,"Introduction to scientific method, theory and experimentation, cell chemistry, enzymes, metabolism, photosynthesis, genetics, and evolution, and a survey of selected organisms. Fulfills Biology major requirement.",BIOL_2107L
9,BIOL,BIOL_2107K,2,Principles of Biology I,4.0,CHEM_1211K_or_CHEM_1211_and_CHEM_1211L_with_grades_of_C_or_higher,"Introduction to scientific method, theory and experimentation, cell chemistry, enzymes, metabolism, photosynthesis, genetics, and evolution, and a survey of selected organisms. Fulfills Biology Major requirement. Three lecture and three laboratory hours a week. Includes a $50 lab fee.",
10,BIOL,BIOL_2107L,2,Principles of Biology I Laboratory,1.0,MATH_1111_with_grade_of_C_or_higher,Laboratory based application of topics covered in the lecture. Fulfills Biology major requirement. Includes a lab fee.,BIOL_2107
